CpG,beta
CpG_0,-0.11111134854938669
CpG_1,0.026335987772348135
CpG_2,-0.5077895406037708
CpG_3,0.7300994809244016
CpG_4,0.41906328394719056
CpG_5,1.8300733840612362
CpG_6,2.0017939683360804
CpG_7,0.2072047166379982
CpG_8,-0.49476906001593207
CpG_9,-1.0660231403656546
CpG_10,0.1338557311719179
CpG_11,-0.406470547655163
CpG_12,0.5304520619661097
CpG_13,-0.30604839952990404
CpG_14,0.656993787478793
CpG_15,1.2006049271804917
CpG_16,0.07852428372267231
CpG_17,0.635232052213349
CpG_18,0.38160527239784703
CpG_19,-0.8373414723521785
CpG_20,0.5853311926774476
CpG_21,-0.026891275409160247
CpG_22,0.8839649567899415
CpG_23,0.7953922462867554
CpG_24,0.4913697555115288
CpG_25,-0.24964779926957603
CpG_26,-0.5924718832085123
CpG_27,0.13355116168349185
CpG_28,0.5287420152436058
CpG_29,1.0642348662175822
CpG_30,-0.41069333961219306
CpG_31,1.1267742433352592
CpG_32,-0.4514635890435132
CpG_33,0.46578650643712205
CpG_34,0.19247548305293158
CpG_35,-0.0783189488290452
CpG_36,-0.020381263067717013
CpG_37,0.5977242310787723
CpG_38,0.22303610074104027
CpG_39,-0.22749174017039
CpG_40,-0.6128028818836241
CpG_41,-0.6389687871598096
CpG_42,1.0035384251329156
CpG_43,1.7482150752452026
CpG_44,0.07999580678671912
CpG_45,-0.05931916305494128
CpG_46,1.0810101406148251
CpG_47,1.624596047104843
CpG_48,0.10969125068192817
CpG_49,0.7367817005417026
