CpG,Position
CpG_0,13699
CpG_1,14516
CpG_2,18103
CpG_3,18760
CpG_4,19335
CpG_5,19741
CpG_6,26494
CpG_7,33880
CpG_8,37327
CpG_9,41092
CpG_10,46220
CpG_11,56075
CpG_12,71550
CpG_13,74788
CpG_14,81080
CpG_15,87170
CpG_16,88336
CpG_17,89239
CpG_18,89691
CpG_19,90626
CpG_20,90641
CpG_21,100570
CpG_22,103132
CpG_23,105769
CpG_24,109540
CpG_25,111362
CpG_26,126701
CpG_27,129129
CpG_28,131259
CpG_29,135905
CpG_30,139776
CpG_31,140404
CpG_32,143777
CpG_33,147414
CpG_34,151859
CpG_35,152466
CpG_36,155017
CpG_37,155898
CpG_38,156531
CpG_39,157426
CpG_40,164729
CpG_41,165698
CpG_42,168109
CpG_43,171799
CpG_44,171860
CpG_45,177690
CpG_46,178731
CpG_47,185426
CpG_48,194168
CpG_49,195148
