CpG,pos
CpG_0,4673
CpG_1,19593
CpG_2,22858
CpG_3,32844
CpG_4,34892
CpG_5,39095
CpG_6,43886
CpG_7,45536
CpG_8,46975
CpG_9,47994
CpG_10,49516
CpG_11,58150
CpG_12,64928
CpG_13,65830
CpG_14,70736
CpG_15,70758
CpG_16,77990
CpG_17,81183
CpG_18,83449
CpG_19,92092
CpG_20,95546
CpG_21,98124
CpG_22,100754
CpG_23,101533
CpG_24,114227
CpG_25,114392
CpG_26,120539
CpG_27,123495
CpG_28,139103
CpG_29,139283
CpG_30,144875
CpG_31,156870
CpG_32,163586
CpG_33,165767
CpG_34,177908
CpG_35,182589
CpG_36,183954
CpG_37,185859
CpG_38,186028
CpG_39,194351
CpG_40,201804
CpG_41,206014
CpG_42,217074
CpG_43,218173
CpG_44,219138
CpG_45,220000
CpG_46,222263
CpG_47,223398
CpG_48,225742
CpG_49,225779
CpG_50,229998
CpG_51,232007
CpG_52,233893
CpG_53,235308
CpG_54,236312
CpG_55,238376
CpG_56,249397
CpG_57,250675
CpG_58,253297
CpG_59,257100
CpG_60,263713
CpG_61,273169
CpG_62,273738
CpG_63,277737
CpG_64,278267
CpG_65,282685
CpG_66,284801
CpG_67,315252
CpG_68,316200
CpG_69,318744
CpG_70,322288
CpG_71,327631
CpG_72,332760
CpG_73,335237
CpG_74,339281
CpG_75,341565
CpG_76,341841
CpG_77,343552
CpG_78,348986
CpG_79,350432
CpG_80,350560
CpG_81,352877
CpG_82,359021
CpG_83,368140
CpG_84,371944
CpG_85,372636
CpG_86,379285
CpG_87,380189
CpG_88,380808
CpG_89,384154
CpG_90,387204
CpG_91,389413
CpG_92,390401
CpG_93,390583
CpG_94,391002
CpG_95,393246
CpG_96,393675
CpG_97,398044
CpG_98,398624
CpG_99,402577
CpG_100,402644
CpG_101,411558
CpG_102,413987
CpG_103,416297
CpG_104,416506
CpG_105,416535
CpG_106,420034
CpG_107,421004
CpG_108,429287
CpG_109,429440
CpG_110,444057
CpG_111,446667
CpG_112,449145
CpG_113,452862
CpG_114,461341
CpG_115,463455
CpG_116,470212
CpG_117,483787
CpG_118,485378
CpG_119,487835
