CpG,gamma_mean,gamma_sd,gamma_lower,gamma_upper,p_gamma_gt_0
cg24694549,-0.0083116560859816,0.0993791295440029,-0.2030947499922273,0.18647143782026407,0.4666729888440203
cg24860815,-0.0111703077473036,0.1062082247247412,-0.21933842820779634,0.19699781271318914,0.4581190054140051
cg22111522,0.0178718424794967,0.1584080397319658,-0.29260791539515624,0.3283516003541496,0.5449139882685585
cg19545900,-0.0251870130134429,0.1165078935931253,-0.2535424844559685,0.20316845842908268,0.41442259544739135
cg18852744,0.0016077108463431,0.1274364749792293,-0.24816778011294635,0.25138320180563256,0.5050328355223193
cg14089899,-0.010602498769398,0.1298571646863047,-0.2651225415545552,0.2439175440157592,0.4674635570358707
cg04426657,-0.0010529895302846,0.1322199095380644,-0.2602040122248908,0.2580980331643216,0.4968228869206964
cg20948518,-0.047768541961198,0.1747915016060822,-0.3903598851091191,0.2948228011867231,0.3923156510898653
cg11610869,-0.0093859896986496,0.1359427723016234,-0.2758338234098315,0.25706184401253224,0.47247742415307026
cg14667271,-0.0302421972101551,0.1693035559316596,-0.3620771668362079,0.3015927724158977,0.4291152709237245
cg04695454,0.0154637607825218,0.1273651446265784,-0.2341719226855719,0.2650994442506155,0.5483179665918969
cg06554266,-0.0102081385401806,0.1477459442902922,-0.2997901893491533,0.2793739122687921,0.47245799037231606
cg08434263,-0.005490953077346,0.1583433994180827,-0.31584401593678807,0.3048621097820961,0.48616845165941813
cg16050082,-0.0130541485709729,0.1560096126310185,-0.3188329893277692,0.29272469218582337,0.46665730454757715
cg04088732,0.0091788876434668,0.1409053416112033,-0.26699558191449163,0.28535335720142524,0.5259696199387224
cg14572301,-0.0228466216353955,0.1492903117037767,-0.31545563257479786,0.2697623893040068,0.4391853932144536
cg03905970,0.02137264328328,0.1708893531378129,-0.3135704888668333,0.35631577543339327,0.5497648027198849
cg26251208,-0.0167388734594255,0.142075319091004,-0.2952064988777933,0.26172875195894235,0.45310636983839925
cg00878023,-0.0207336796035677,0.1820193877899385,-0.37749167967184716,0.33602432046471176,0.4546548933116292
cg21818687,-0.0043139922229926,0.1837153590286599,-0.364396095919166,0.35576811147318077,0.49063292392172897
cg21222961,-0.034736173020146,0.1672974479549107,-0.36263917101177096,0.293166824971479,0.4177584632339807
cg02322553,-0.0056354212171461,0.1591024814069728,-0.3174762847748128,0.3062054423405206,0.485872390130749
cg08040472,-0.0145788037870088,0.1780619726062632,-0.36358027009528465,0.334422662521267,0.4673731025452226
cg25521979,-0.0110294287578565,0.178628858363525,-0.3611419911503655,0.3390831336346525,0.47538297426468146
cg13996925,-0.0256928740190844,0.1974792359835437,-0.41275217654683,0.36136642850866124,0.44824200162675076
cg26399970,-0.0112534289226906,0.1775591431513864,-0.359269349499408,0.3367624916540268,0.474732560916289
cg23108121,-0.0055487004811755,0.1740788953288454,-0.3467433353257125,0.3356459343633615,0.4872860151087356
cg10190711,-0.0455256576013982,0.1812939888286678,-0.40086187570558707,0.30981056050279066,0.40086256201985837
cg08585618,-0.0164767120245852,0.1944999567615443,-0.397696627277212,0.36474320322804166,0.46624470430503306
cg03341064,-0.0004841919063064,0.1258721058851909,-0.2471935194412806,0.24622513562866777,0.49846539353959585
cg21566778,0.0010755141328452,0.1590637459656426,-0.3106894279598143,0.31284045622550466,0.5026974392486714
cg00577835,-0.0004443239472232,0.1659026103004116,-0.32561344013602994,0.3247247922415835,0.4989315454620551
cg20415069,-0.0178636733795541,0.1984047655877643,-0.4067370139315721,0.3710096671724639,0.4641290994873063
cg09311036,-0.0014200009267925,0.1733562300115544,-0.3411982117494391,0.3383582098958541,0.49673220816497443
cg14261068,0.0055661045814297,0.1714291700633389,-0.33043506874271455,0.34156727790557395,0.5129509135166247
cg02931428,-0.0277350868111376,0.2599812108025405,-0.537298259984117,0.48182808636184177,0.45752098049053347
cg13102615,-0.011930531729432,0.2160464453807903,-0.43538156467578093,0.41152050121691697,0.47798077359162816
cg09600612,-0.0089348557573531,0.2181832579550702,-0.4365740413492907,0.4187043298345845,0.48366741911689015
cg16125047,0.0036475670301463,0.1560268481285547,-0.3021650553018209,0.3094601893621135,0.5093255499948552
cg01813294,-0.0182985621331838,0.190014327582296,-0.39072664419448394,0.3541295199281163,0.4616407743871582
cg21064897,-0.0077729028666655,0.1929633454193635,-0.3859810598886179,0.37043525415528694,0.48393424831798526
cg01293271,-0.0049473971699082,0.2174807209833381,-0.43120961029725086,0.4213148159574344,0.4909253763791537
cg10771391,-0.0230056651491143,0.1863184546138205,-0.38818983619220243,0.34217850589397386,0.45086549777023965
cg05257947,-0.0164544634999748,0.2066551507494438,-0.42149855896888466,0.38858963196893503,0.4682686271117751
cg08719385,-0.0027019030819196,0.1856565873412536,-0.3665888142707766,0.36118500810693743,0.49419430603456405
cg11756104,-0.0084542872488932,0.1922395969510028,-0.3852438972728586,0.36833532277507225,0.4824610235540706
cg02275649,-0.0118461576224558,0.1874191050983587,-0.37918760361523884,0.3554952883703273,0.4748009240664377
cg21329721,-0.0232065427673942,0.2244478581651127,-0.4631243447710151,0.4167112592362267,0.4588251706986336
cg03247467,-0.0209246703073028,0.1898360207406701,-0.3930032709590162,0.35115393034441056,0.456115478578758
cg26769410,-0.009392855665198,0.2222895534541443,-0.44508038043532083,0.42629466910492486,0.48314769003156366
cg12643514,0.01506912601674,0.1843762215472477,-0.3463082682158655,0.3764465202493455,0.532569413044991
